Sample1,	Sample2,	r,	P,	P_adjust
Chlamy107,	Chlamy123,	0.5238831690595,	1.59155089107799e-09,	1.4691238994566e-08
Chlamy107,	Chlamy125,	-0.35462827400375,	9.39030748543512e-05,	0.000304550513041139
Chlamy123,	Chlamy125,	-0.451507742581397,	3.63678692050229e-07,	2.42452461366819e-06
Chlamy107,	Chlamy19,	-0.29201651800994,	0.00146930159975001,	0.00342602263719559
Chlamy123,	Chlamy19,	-0.238500100700137,	0.00993093925405697,	0.0205467708704627
Chlamy125,	Chlamy19,	0.322371545290983,	0.000416894780011834,	0.00111171941336489
Chlamy107,	Chlamy23,	-0.439334008339745,	8.06543169140639e-07,	4.83925901484383e-06
Chlamy123,	Chlamy23,	-0.24250075990674,	0.00872106852543508,	0.0186880039830752
Chlamy125,	Chlamy23,	0.213175220401362,	0.0215857463549258,	0.0398506086552477
Chlamy107,	Chlamy24,	0.331762975101366,	0.000274654703339872,	0.000766478241878712
Chlamy107,	Chlamy28,	-0.433468453399792,	1.17100675600668e-06,	6.69146717718101e-06
Chlamy23,	Chlamy28,	0.517099924884236,	2.79841416706006e-09,	2.39864071462291e-08
Chlamy24,	Chlamy28,	-0.216330364352042,	0.0196792684165015,	0.0374843207933361
Chlamy107,	Chlamy43,	0.379788403053746,	2.61299316988151e-05,	0.000101148122705091
Chlamy23,	Chlamy43,	-0.274716308512031,	0.00284150175725006,	0.00643358888433977
Chlamy28,	Chlamy43,	-0.415815043928865,	3.45141237390045e-06,	1.72570618695023e-05
Chlamy107,	Chlamy45,	-0.919295778810593,	0,	0
Chlamy123,	Chlamy45,	-0.553360230937133,	1.17896803430995e-10,	1.17896803430995e-09
Chlamy125,	Chlamy45,	0.297113553057776,	0.00120025329281415,	0.00300063323203537
Chlamy19,	Chlamy45,	0.3444261188575,	0.000153136405317778,	0.000448204113125202
Chlamy23,	Chlamy45,	0.422520408595434,	2.30571435810845e-06,	1.20298140423049e-05
Chlamy24,	Chlamy45,	-0.258543460442053,	0.00507470768425189,	0.0112771281872264
Chlamy28,	Chlamy45,	0.463013472188639,	1.66425069725307e-07,	1.2481880229398e-06
Chlamy43,	Chlamy45,	-0.455231925895818,	2.83261780698041e-07,	1.99949492257441e-06
Chlamy107,	Chlamy6,	0.403605994026039,	7.03812283031624e-06,	3.19100451445169e-05
Chlamy123,	Chlamy6,	0.39933723797819,	8.97051243020641e-06,	3.71193617801645e-05
Chlamy125,	Chlamy6,	-0.770493158216851,	0,	0
Chlamy19,	Chlamy6,	-0.385375021348781,	1.9383904415804e-05,	7.75356176632158e-05
Chlamy24,	Chlamy6,	-0.223277310310659,	0.0159864495838842,	0.0309415153236468
Chlamy45,	Chlamy6,	-0.403257614491272,	7.17976015751631e-06,	3.19100451445169e-05
Chlamy107,	Chlamy7,	0.33676041814349,	0.000218754347793837,	0.000625012422268106
Chlamy123,	Chlamy7,	0.291752806402602,	0.00148460980945142,	0.00342602263719559
Chlamy24,	Chlamy7,	0.203868205332935,	0.0281595685669949,	0.0491021144054316
Chlamy45,	Chlamy7,	-0.293924754451684,	0.00136273774800433,	0.00333731693388815
Chlamy107,	Chlamy74,	-0.352761439346109,	0.000102822456387486,	0.000324702493855218
Chlamy123,	Chlamy74,	-0.241846843850443,	0.0089094674353678,	0.0187567735481427
Chlamy125,	Chlamy74,	0.298528003438183,	0.00113400387946028,	0.00289532905394113
Chlamy19,	Chlamy74,	0.408839840929933,	5.2033402608842e-06,	2.49760332522442e-05
Chlamy45,	Chlamy74,	0.43165403520508,	1.31231901856488e-06,	7.15810373762661e-06
Chlamy6,	Chlamy74,	-0.447924172922082,	4.61254826777946e-07,	2.91318837965018e-06
Chlamy107,	Chlamy75,	0.626760046326672,	5.24025267623074e-14,	7.86037901434611e-13
Chlamy123,	Chlamy75,	0.495186910989627,	1.59587023595975e-08,	1.2766961887678e-07
Chlamy125,	Chlamy75,	-0.742813208780225,	0,	0
Chlamy19,	Chlamy75,	-0.401381977789692,	7.98970127879883e-06,	3.42415769091379e-05
Chlamy23,	Chlamy75,	-0.22641222513832,	0.014527390619594,	0.0285784733500209
Chlamy28,	Chlamy75,	-0.236997797248502,	0.0104220035497407,	0.0211972953554047
Chlamy45,	Chlamy75,	-0.66391547287147,	4.44089209850063e-16,	7.61295788314393e-15
Chlamy6,	Chlamy75,	0.758687499881269,	0,	0
Chlamy74,	Chlamy75,	-0.591600806109781,	2.69273492392585e-12,	3.23128190871103e-11
Chlamy19,	Chlamy77,	0.21453065540678,	0.020748124193761,	0.038902732863302
Chlamy23,	Chlamy77,	-0.208259384187274,	0.0248717399536749,	0.0445463999170296
Chlamy43,	Chlamy77,	0.327105545420107,	0.000338372087706595,	0.000922832966472533
Chlamy6,	Chlamy77,	-0.357687669607376,	8.0828759790208e-05,	0.000269429199300693
Chlamy74,	Chlamy77,	0.292896131500072,	0.00141927290779242,	0.00340625497870182
Chlamy75,	Chlamy77,	-0.228969564825568,	0.0134243557395197,	0.0268487114790394
Chlamy123,	Chlamy8,	0.203774321691104,	0.0282337157831232,	0.0491021144054316
Chlamy107,	Chlamy88,	0.843452879864397,	0,	0
Chlamy123,	Chlamy88,	0.573613252298199,	1.69271263672499e-11,	1.84659560369999e-10
Chlamy125,	Chlamy88,	-0.304337463337748,	0.000895439869898595,	0.00233593009538764
Chlamy19,	Chlamy88,	-0.210186519846309,	0.0235358562645218,	0.0427924659354942
Chlamy23,	Chlamy88,	-0.352102959904701,	0.000106152415158434,	0.000326622815872104
Chlamy24,	Chlamy88,	0.256699984818386,	0.00540962978768844,	0.0118028286276839
Chlamy28,	Chlamy88,	-0.376703007750031,	3.07440265134851e-05,	0.000115290099425569
Chlamy43,	Chlamy88,	0.371532803715735,	4.02268386847648e-05,	0.000146279413399145
Chlamy45,	Chlamy88,	-0.879361546314312,	0,	0
Chlamy6,	Chlamy88,	0.358957207688402,	7.59191432977424e-05,	0.00026029420559226
Chlamy7,	Chlamy88,	0.345897705039863,	0.00014285220358623,	0.00042855661075869
Chlamy74,	Chlamy88,	-0.369968283863619,	4.35971318695216e-05,	0.000153872230127723
Chlamy75,	Chlamy88,	0.593451710501869,	2.21422880031241e-12,	2.95230506708322e-11
